car,car,car,car,car,car,car,car,car,car,class
-0.48,0.88,-0.99,0.54,-0.65,0.71,-0.82,0.54,-0.99,0.2,One-pair
-0.48,-0.14,-0.99,0.2,-0.65,0.37,-0.99,0.99,-0.48,0.99,One-pair
-0.99,0.99,-0.48,0.2,-0.82,0.03,-0.82,0.54,-0.65,0.99,One-pair
-0.65,0.88,-0.82,0.88,-0.82,0.2,-0.65,0.71,-0.99,-0.14,One-pair
-0.65,0.54,-0.99,0.03,-0.48,0.03,-0.48,-0.14,-0.99,0.71,One-pair
-0.82,0.03,-0.99,-0.14,-0.65,-0.14,-0.48,0.99,-0.48,0.37,One-pair
-0.65,-0.14,-0.82,0.99,-0.48,0.99,-0.65,0.54,-0.82,0.88,One-pair
-0.65,0.88,-0.65,0.54,-0.48,-0.14,-0.82,-0.14,-0.82,0.99,One-pair
-0.99,0.2,-0.48,0.03,-0.48,0.99,-0.82,-0.14,-0.65,-0.14,One-pair
-0.99,0.54,-0.65,0.37,-0.65,0.54,-0.99,0.2,-0.48,0.99,One-pair
-0.65,0.54,-0.99,0.88,-0.99,0.03,-0.65,0.99,-0.82,0.88,One-pair
-0.65,0.37,-0.99,0.99,-0.48,0.2,-0.48,0.37,-0.99,-0.14,One-pair
-0.48,-0.14,-0.82,0.37,-0.48,0.03,-0.99,0.2,-0.65,0.2,One-pair
-0.65,-0.14,-0.82,0.99,-0.65,0.37,-0.99,0.99,-0.99,0.54,One-pair
-0.82,0.03,-0.82,0.99,-0.65,0.54,-0.99,0.37,-0.99,0.54,One-pair
-0.82,0.2,-0.99,-0.14,-0.82,-0.14,-0.82,0.03,-0.65,0.99,One-pair
-0.99,0.71,-0.99,0.99,-0.48,0.37,-0.99,0.03,-0.65,0.99,One-pair
-0.82,0.99,-0.48,0.88,-0.48,0.99,-0.99,0.03,-0.48,0.2,One-pair
-0.65,0.37,-0.99,0.2,-0.82,0.03,-0.48,0.37,-0.82,-0.14,One-pair
-0.48,0.37,-0.99,0.88,-0.65,0.37,-0.99,-0.14,-0.99,0.99,One-pair
-0.82,0.37,-0.82,0.99,-0.65,0.71,-0.82,-0.14,-0.82,0.71,One-pair
-0.48,0.99,-0.99,0.88,-0.48,0.71,-0.82,0.71,-0.99,-0.14,One-pair
-0.82,0.54,-0.48,-0.14,-0.48,0.2,-0.65,0.2,-0.65,0.37,One-pair
-0.82,0.37,-0.48,0.03,-0.65,0.37,-0.82,0.99,-0.82,-0.14,One-pair
-0.82,-0.14,-0.48,0.2,-0.65,0.54,-0.82,0.37,-0.82,0.54,One-pair
-0.48,0.54,-0.48,0.03,-0.99,0.88,-0.82,-0.14,-0.82,0.88,One-pair
-0.82,0.88,-0.99,0.03,-0.82,0.37,-0.48,0.2,-0.65,0.03,One-pair
-0.65,-0.14,-0.65,0.2,-0.82,0.88,-0.48,0.2,-0.65,0.71,One-pair
-0.48,0.37,-0.82,0.2,-0.82,-0.14,-0.65,-0.14,-0.48,0.71,One-pair
-0.48,0.99,-0.99,0.37,-0.65,0.03,-0.65,0.71,-0.99,0.03,One-pair
-0.99,0.71,-0.99,0.37,-0.48,0.71,-0.82,0.99,-0.65,0.54,One-pair
-0.99,0.2,-0.65,0.37,-0.82,-0.14,-0.48,0.71,-0.82,0.37,One-pair
-0.82,0.37,-0.65,0.99,-0.99,0.54,-0.82,0.03,-0.99,0.99,One-pair
-0.65,-0.14,-0.82,-0.14,-0.48,0.54,-0.99,0.03,-0.65,0.99,One-pair
-0.82,0.37,-0.65,0.99,-0.48,-0.14,-0.82,0.99,-0.99,0.2,One-pair
-0.82,-0.14,-0.65,0.99,-0.82,0.03,-0.48,0.2,-0.65,0.2,One-pair
-0.82,0.2,-0.82,0.54,-0.99,-0.14,-0.65,0.54,-0.65,0.99,One-pair
-0.82,0.88,-0.65,0.03,-0.99,0.88,-0.48,0.2,-0.48,0.37,One-pair
-0.99,0.2,-0.65,0.88,-0.99,0.99,-0.48,0.2,-0.99,-0.14,One-pair
-0.48,0.99,-0.99,0.03,-0.82,0.03,-0.99,0.37,-0.65,0.54,One-pair
-0.65,0.54,-0.99,-0.14,-0.82,0.03,-0.99,0.99,-0.65,-0.14,One-pair
-0.99,0.99,-0.65,-0.14,-0.99,0.88,-0.48,0.71,-0.82,0.99,One-pair
-0.82,0.54,-0.48,-0.14,-0.99,0.03,-0.82,0.03,-0.65,0.99,One-pair
-0.48,0.37,-0.65,0.88,-0.82,0.2,-0.48,0.2,-0.82,0.03,One-pair
-0.82,-0.14,-0.65,0.88,-0.82,0.71,-0.65,0.2,-0.65,-0.14,One-pair
-0.65,0.2,-0.99,0.71,-0.99,0.54,-0.99,-0.14,-0.48,0.2,One-pair
-0.82,0.2,-0.48,0.88,-0.82,-0.14,-0.65,0.71,-0.48,0.2,One-pair
-0.82,0.37,-0.65,0.54,-0.48,0.99,-0.99,0.54,-0.82,0.2,One-pair
-0.99,0.03,-0.82,0.88,-0.48,0.54,-0.99,0.54,-0.48,-0.14,One-pair
-0.99,0.54,-0.48,0.37,-0.65,0.88,-0.65,0.99,-0.82,0.99,One-pair
-0.48,0.37,-0.65,0.99,-0.99,0.88,-0.82,0.37,-0.48,0.2,One-pair
-0.82,0.88,-0.65,0.99,-0.99,0.71,-0.48,0.71,-0.82,0.54,One-pair
-0.65,0.2,-0.65,0.37,-0.99,0.88,-0.82,0.2,-0.82,0.71,One-pair
-0.48,0.54,-0.48,0.88,-0.48,-0.14,-0.48,0.37,-0.48,0.2,Flush
-0.48,0.37,-0.48,0.03,-0.48,-0.14,-0.48,0.2,-0.48,0.99,Flush
-0.99,-0.14,-0.99,0.03,-0.99,0.2,-0.99,0.37,-0.99,0.54,Flush
-0.99,0.2,-0.99,0.37,-0.99,0.54,-0.99,0.71,-0.99,0.88,Flush
-0.82,-0.14,-0.82,0.03,-0.82,0.2,-0.82,0.37,-0.82,0.54,Flush
-0.82,0.2,-0.82,0.37,-0.82,0.54,-0.82,0.71,-0.82,0.88,Flush
-0.65,-0.14,-0.65,0.03,-0.65,0.2,-0.65,0.37,-0.65,0.54,Flush
-0.65,0.2,-0.65,0.37,-0.65,0.54,-0.65,0.71,-0.65,0.88,Flush
-0.65,0.37,-0.65,0.54,-0.65,0.71,-0.65,0.88,-0.65,0.99,Flush
-0.82,0.37,-0.82,0.54,-0.82,0.71,-0.82,0.88,-0.82,0.99,Flush
-0.99,0.37,-0.99,0.54,-0.99,0.71,-0.99,0.88,-0.99,0.99,Flush
-0.99,0.03,-0.99,0.88,-0.48,0.37,-0.48,0.99,-0.65,0.54,Nothing-in-hand
-0.65,0.71,-0.82,0.88,-0.82,0.03,-0.48,0.99,-0.65,0.37,Nothing-in-hand
-0.82,0.88,-0.82,0.54,-0.48,0.71,-0.48,0.03,-0.65,0.2,Nothing-in-hand
-0.48,0.99,-0.82,0.88,-0.65,0.03,-0.99,-0.14,-0.65,0.54,Nothing-in-hand
-0.82,0.03,-0.99,0.88,-0.99,-0.14,-0.48,0.71,-0.99,0.54,Nothing-in-hand
-0.82,0.99,-0.82,0.54,-0.82,0.2,-0.48,0.37,-0.99,0.71,Nothing-in-hand
-0.65,0.88,-0.65,0.03,-0.65,-0.14,-0.65,0.71,-0.99,0.54,Nothing-in-hand
-0.48,0.71,-0.65,0.54,-0.65,0.88,-0.82,0.2,-0.82,0.99,Nothing-in-hand
-0.82,0.54,-0.99,0.03,-0.48,0.99,-0.48,0.88,-0.65,0.37,Nothing-in-hand
-0.65,0.99,-0.99,0.71,-0.82,0.2,-0.48,0.37,-0.82,0.88,Nothing-in-hand
-0.82,0.54,-0.48,-0.14,-0.48,0.2,-0.82,0.88,-0.99,0.03,Nothing-in-hand
-0.99,0.03,-0.65,0.37,-0.65,0.88,-0.82,0.71,-0.65,0.54,Nothing-in-hand
-0.65,0.37,-0.99,0.88,-0.48,0.2,-0.99,0.03,-0.82,0.54,Nothing-in-hand
-0.65,-0.14,-0.48,0.71,-0.65,0.88,-0.65,0.2,-0.82,0.03,Nothing-in-hand
-0.99,0.54,-0.82,0.03,-0.48,0.71,-0.65,0.88,-0.82,-0.14,Nothing-in-hand
-0.99,0.03,-0.48,0.54,-0.82,0.71,-0.99,-0.14,-0.65,0.37,Nothing-in-hand
-0.82,0.88,-0.99,0.03,-0.99,-0.14,-0.48,0.99,-0.82,0.37,Nothing-in-hand
-0.65,0.37,-0.48,0.99,-0.65,0.88,-0.82,-0.14,-0.82,0.71,Nothing-in-hand
-0.99,0.99,-0.48,0.37,-0.82,0.71,-0.48,0.2,-0.65,-0.14,Nothing-in-hand
-0.65,0.37,-0.82,0.88,-0.48,0.71,-0.99,0.2,-0.48,0.99,Nothing-in-hand
-0.82,-0.14,-0.65,0.2,-0.48,0.03,-0.65,0.99,-0.82,0.88,Nothing-in-hand
-0.99,0.54,-0.65,0.03,-0.82,-0.14,-0.48,0.37,-0.48,0.99,Nothing-in-hand
-0.48,0.71,-0.65,0.03,-0.65,0.54,-0.99,0.37,-0.65,0.88,Nothing-in-hand
-0.48,0.71,-0.48,0.54,-0.48,0.99,-0.65,-0.14,-0.48,0.37,Nothing-in-hand
-0.48,0.37,-0.99,0.71,-0.65,-0.14,-0.65,0.03,-0.82,0.2,Nothing-in-hand
-0.48,0.03,-0.65,0.88,-0.65,0.71,-0.48,-0.14,-0.99,0.99,Nothing-in-hand
-0.99,0.99,-0.82,0.54,-0.48,0.37,-0.82,0.2,-0.65,-0.14,Nothing-in-hand
-0.99,0.37,-0.99,0.54,-0.82,0.2,-0.99,0.03,-0.82,0.88,Nothing-in-hand
-0.82,0.99,-0.48,0.88,-0.82,0.2,-0.99,-0.14,-0.82,0.71,Nothing-in-hand
-0.99,0.37,-0.99,0.88,-0.99,0.54,-0.99,0.71,-0.99,0.99,Straight-flush
-0.99,0.71,-0.65,0.88,-0.65,0.54,-0.48,0.37,-0.82,0.99,Straight
-0.65,0.37,-0.99,0.54,-0.48,0.71,-0.65,0.03,-0.48,0.2,Straight
-0.65,0.54,-0.99,0.03,-0.65,0.2,-0.65,0.71,-0.65,0.37,Straight
-0.82,0.2,-0.82,0.54,-0.82,-0.14,-0.65,0.37,-0.65,0.03,Straight
-0.65,0.71,-0.65,0.88,-0.82,0.37,-0.65,0.2,-0.82,0.54,Straight
-0.82,0.99,-0.48,0.71,-0.99,0.88,-0.48,0.54,-0.48,0.37,Straight
-0.99,0.88,-0.65,0.54,-0.99,0.2,-0.82,0.71,-0.82,0.37,Straight
-0.65,0.37,-0.48,0.54,-0.48,0.71,-0.48,0.88,-0.65,0.99,Straight
-0.99,0.71,-0.82,0.88,-0.82,0.99,-0.99,0.37,-0.99,0.54,Straight
-0.99,0.54,-0.99,0.37,-0.99,0.03,-0.65,0.71,-0.65,0.2,Straight
-0.82,0.54,-0.65,0.99,-0.99,0.37,-0.82,0.71,-0.65,0.88,Straight
-0.99,0.71,-0.99,0.03,-0.48,0.37,-0.99,0.54,-0.82,0.2,Straight
-0.48,0.2,-0.65,0.37,-0.99,0.54,-0.65,0.03,-0.48,-0.14,Straight
-0.48,0.2,-0.48,0.37,-0.82,0.03,-0.99,0.54,-0.48,0.71,Straight
-0.99,0.99,-0.82,0.37,-0.48,0.88,-0.99,0.54,-0.48,0.71,Straight
-0.99,0.88,-0.65,0.71,-0.65,0.99,-0.48,0.54,-0.99,0.37,Straight
-0.99,0.54,-0.65,0.71,-0.65,0.37,-0.99,0.03,-0.65,0.2,Straight
-0.65,0.03,-0.82,0.2,-0.48,0.71,-0.65,0.37,-0.48,0.54,Straight
-0.82,0.37,-0.82,0.54,-0.65,-0.14,-0.99,0.03,-0.48,0.2,Straight
-0.65,0.88,-0.99,0.99,-0.82,0.37,-0.65,0.54,-0.48,0.71,Straight
-0.82,-0.14,-0.65,0.37,-0.65,0.54,-0.82,0.2,-0.65,0.03,Straight
-0.65,0.37,-0.82,0.54,-0.48,0.71,-0.48,0.88,-0.48,0.2,Straight
-0.82,0.2,-0.48,-0.14,-0.65,0.37,-0.65,0.03,-0.48,0.54,Straight
-0.48,0.54,-0.48,0.2,-0.65,0.71,-0.82,0.03,-0.82,0.37,Straight
-0.82,0.2,-0.99,0.54,-0.99,0.37,-0.65,0.03,-0.99,-0.14,Straight
-0.48,0.2,-0.82,0.54,-0.82,0.37,-0.82,0.88,-0.99,0.71,Straight
-0.48,0.99,-0.82,0.71,-0.48,0.54,-0.82,0.37,-0.65,0.88,Straight
-0.82,0.2,-0.48,0.54,-0.65,0.71,-0.99,0.37,-0.48,0.88,Straight
-0.99,0.88,-0.82,0.54,-0.48,0.99,-0.99,0.71,-0.48,0.37,Straight
-0.65,0.71,-0.48,0.54,-0.65,0.37,-0.82,0.88,-0.48,0.2,Straight
-0.99,0.88,-0.65,0.37,-0.48,0.54,-0.65,0.71,-0.99,0.99,Straight
-0.48,0.54,-0.99,0.99,-0.99,0.37,-0.48,0.88,-0.48,0.71,Straight
-0.99,0.37,-0.48,0.54,-0.82,0.2,-0.99,-0.14,-0.99,0.03,Straight
-0.48,0.99,-0.65,0.88,-0.48,0.54,-0.99,0.71,-0.82,0.37,Straight
-0.82,0.99,-0.99,0.88,-0.99,0.71,-0.99,0.54,-0.82,0.37,Straight
-0.82,0.88,-0.65,0.54,-0.99,0.99,-0.99,0.37,-0.99,0.71,Straight
-0.65,0.2,-0.99,0.71,-0.48,0.88,-0.99,0.37,-0.99,0.54,Straight
-0.82,0.88,-0.99,0.99,-0.48,0.37,-0.82,0.71,-0.48,0.54,Straight
-0.82,0.37,-0.82,0.88,-0.48,0.2,-0.99,0.71,-0.48,0.54,Straight
-0.82,0.71,-0.65,0.37,-0.99,0.71,-0.48,0.2,-0.65,0.2,Two-pairs
-0.65,0.03,-0.99,0.2,-0.99,0.03,-0.48,0.88,-0.82,0.2,Two-pairs
-0.82,0.54,-0.65,0.54,-0.82,0.99,-0.82,-0.14,-0.99,-0.14,Two-pairs
-0.65,0.2,-0.99,0.99,-0.99,0.03,-0.48,0.03,-0.65,0.99,Two-pairs
-0.99,0.71,-0.99,0.54,-0.48,0.54,-0.65,0.99,-0.99,0.99,Two-pairs
-0.65,0.37,-0.99,0.88,-0.65,0.03,-0.48,0.88,-0.82,0.37,Two-pairs
-0.99,-0.14,-0.65,-0.14,-0.48,0.88,-0.65,0.2,-0.48,0.2,Two-pairs
-0.99,0.99,-0.82,0.54,-0.82,-0.14,-0.65,0.99,-0.48,-0.14,Two-pairs
-0.82,0.03,-0.48,0.71,-0.48,0.88,-0.82,0.88,-0.82,0.71,Two-pairs
-0.65,0.2,-0.99,0.2,-0.65,-0.14,-0.82,-0.14,-0.99,0.99,Two-pairs
-0.48,0.99,-0.99,0.2,-0.65,0.2,-0.82,0.37,-0.65,0.99,Two-pairs
-0.82,0.2,-0.82,-0.14,-0.48,0.37,-0.48,-0.14,-0.65,0.2,Two-pairs
-0.82,-0.14,-0.48,0.71,-0.82,0.2,-0.65,0.2,-0.48,-0.14,Two-pairs
-0.48,0.37,-0.65,0.03,-0.99,0.37,-0.48,-0.14,-0.82,0.03,Two-pairs
-0.65,0.37,-0.65,0.99,-0.99,0.99,-0.99,-0.14,-0.99,0.37,Two-pairs
-0.82,0.88,-0.99,0.2,-0.65,0.2,-0.99,0.88,-0.82,0.54,Two-pairs
-0.99,0.03,-0.65,0.54,-0.65,0.99,-0.99,0.99,-0.48,0.54,Two-pairs
-0.65,0.99,-0.82,0.37,-0.65,-0.14,-0.99,0.37,-0.48,-0.14,Two-pairs
-0.99,0.2,-0.65,0.37,-0.99,0.37,-0.48,0.2,-0.65,0.54,Two-pairs
-0.48,0.37,-0.99,0.71,-0.65,0.88,-0.48,0.88,-0.48,0.71,Two-pairs
-0.65,0.71,-0.48,0.71,-0.65,0.99,-0.48,0.99,-0.99,0.03,Two-pairs
-0.48,0.71,-0.48,-0.14,-0.99,0.54,-0.82,-0.14,-0.99,0.71,Two-pairs
-0.48,0.99,-0.82,0.2,-0.82,0.71,-0.65,0.2,-0.99,0.71,Two-pairs
-0.65,0.2,-0.82,0.54,-0.65,0.54,-0.48,0.2,-0.65,0.37,Two-pairs
-0.48,0.88,-0.48,0.99,-0.82,0.99,-0.48,-0.14,-0.99,0.88,Two-pairs
-0.48,0.54,-0.65,0.37,-0.48,0.37,-0.82,0.99,-0.65,0.99,Two-pairs
-0.65,0.99,-0.48,0.71,-0.99,0.71,-0.99,0.54,-0.82,0.99,Two-pairs
-0.48,0.54,-0.65,0.37,-0.65,0.54,-0.48,0.99,-0.82,0.99,Two-pairs
-0.65,0.37,-0.99,0.03,-0.82,0.71,-0.65,0.71,-0.48,0.03,Two-pairs
-0.99,-0.14,-0.48,0.54,-0.48,-0.14,-0.99,0.54,-0.99,0.2,Two-pairs
-0.99,0.2,-0.99,0.99,-0.65,-0.14,-0.48,0.2,-0.48,-0.14,Two-pairs
-0.82,0.71,-0.65,0.03,-0.99,0.03,-0.65,0.37,-0.99,0.37,Two-pairs
-0.48,0.88,-0.65,0.54,-0.99,0.54,-0.48,0.37,-0.65,0.88,Two-pairs
-0.99,-0.14,-0.65,-0.14,-0.65,0.99,-0.65,0.03,-0.99,0.03,Two-pairs
-0.99,0.03,-0.99,0.37,-0.48,0.37,-0.82,0.54,-0.82,0.03,Two-pairs
-0.65,0.88,-0.99,0.88,-0.82,0.2,-0.48,0.2,-0.65,0.03,Two-pairs
-0.82,0.37,-0.48,0.99,-0.65,0.99,-0.82,0.2,-0.65,0.2,Two-pairs
-0.82,0.03,-0.65,0.03,-0.65,-0.14,-0.82,-0.14,-0.82,0.88,Two-pairs
-0.48,0.88,-0.82,0.99,-0.65,0.71,-0.48,0.71,-0.48,0.99,Two-pairs
-0.65,0.54,-0.99,0.99,-0.82,0.54,-0.65,0.99,-0.65,0.71,Two-pairs
-0.99,0.03,-0.48,0.71,-0.82,0.03,-0.65,0.99,-0.82,0.71,Two-pairs
-0.65,0.99,-0.48,0.54,-0.99,-0.14,-0.82,-0.14,-0.82,0.99,Two-pairs
-0.99,0.03,-0.99,-0.14,-0.82,0.03,-0.65,0.99,-0.82,0.99,Two-pairs
-0.99,0.54,-0.48,0.99,-0.65,0.37,-0.82,0.99,-0.82,0.37,Two-pairs
-0.48,0.99,-0.82,0.2,-0.65,0.88,-0.82,0.88,-0.82,0.99,Two-pairs
-0.99,0.37,-0.99,0.2,-0.65,0.37,-0.65,0.88,-0.65,0.2,Two-pairs
-0.65,0.54,-0.82,0.54,-0.65,-0.14,-0.48,-0.14,-0.99,0.2,Two-pairs
-0.65,0.03,-0.82,0.03,-0.82,0.2,-0.48,0.88,-0.65,0.2,Two-pairs
-0.48,0.99,-0.99,0.37,-0.48,0.2,-0.48,0.37,-0.82,0.99,Two-pairs
-0.82,0.54,-0.82,0.99,-0.48,0.99,-0.99,0.54,-0.48,0.03,Two-pairs
-0.65,0.54,-0.82,-0.14,-0.82,0.03,-0.48,-0.14,-0.65,0.03,Two-pairs
-0.65,0.99,-0.82,0.03,-0.48,0.71,-0.65,0.71,-0.82,0.71,Three-of-akind
-0.99,0.99,-0.65,0.88,-0.82,0.88,-0.99,0.37,-0.48,0.88,Three-of-akind
-0.48,0.88,-0.82,0.71,-0.48,0.71,-0.99,0.37,-0.65,0.71,Three-of-akind
-0.99,0.88,-0.48,0.88,-0.48,0.2,-0.48,0.71,-0.82,0.88,Three-of-akind
-0.99,0.37,-0.99,0.2,-0.65,0.54,-0.48,0.54,-0.82,0.54,Three-of-akind
-0.65,0.2,-0.99,0.88,-0.48,0.88,-0.99,0.37,-0.65,0.88,Three-of-akind
-0.48,0.88,-0.48,0.37,-0.82,0.54,-0.99,0.88,-0.65,0.88,Three-of-akind
-0.65,0.37,-0.99,0.03,-0.48,0.37,-0.82,0.37,-0.82,0.54,Three-of-akind
-0.99,0.54,-0.82,0.71,-0.48,-0.14,-0.65,-0.14,-0.99,-0.14,Three-of-akind
-0.99,0.99,-0.65,0.99,-0.65,0.03,-0.65,0.88,-0.82,0.99,Three-of-akind
-0.48,0.71,-0.99,-0.14,-0.99,0.54,-0.48,0.54,-0.65,0.54,Three-of-akind
-0.82,0.71,-0.48,0.54,-0.65,0.99,-0.99,0.71,-0.65,0.71,Three-of-akind
-0.99,0.2,-0.65,-0.14,-0.82,-0.14,-0.65,0.54,-0.99,-0.14,Three-of-akind
-0.99,0.88,-0.82,0.99,-0.48,0.88,-0.99,0.37,-0.65,0.88,Three-of-akind
-0.65,0.88,-0.48,0.37,-0.99,0.54,-0.65,0.37,-0.82,0.37,Three-of-akind
-0.48,0.71,-0.82,0.03,-0.65,0.71,-0.82,0.88,-0.82,0.71,Three-of-akind
-0.48,0.88,-0.82,0.37,-0.99,0.2,-0.48,0.37,-0.65,0.37,Three-of-akind
-0.65,0.71,-0.82,0.71,-0.48,0.2,-0.82,0.37,-0.48,0.71,Three-of-akind
-0.99,0.71,-0.65,0.88,-0.82,0.71,-0.48,0.2,-0.65,0.71,Three-of-akind
-0.99,0.88,-0.82,0.88,-0.82,0.71,-0.82,0.2,-0.48,0.88,Three-of-akind
-0.48,0.03,-0.65,0.03,-0.99,0.03,-0.82,0.71,-0.48,0.2,Three-of-akind
-0.99,0.03,-0.65,0.88,-0.82,0.03,-0.65,0.37,-0.48,0.03,Three-of-akind
-0.82,0.71,-0.48,0.03,-0.65,0.71,-0.82,0.88,-0.48,0.71,Three-of-akind
-0.99,0.99,-0.65,0.71,-0.65,0.99,-0.82,0.99,-0.65,0.88,Three-of-akind
-0.82,-0.14,-0.48,0.88,-0.82,0.54,-0.48,0.54,-0.65,0.54,Three-of-akind
-0.48,0.54,-0.65,0.37,-0.48,-0.14,-0.65,-0.14,-0.82,-0.14,Three-of-akind
-0.82,0.71,-0.48,-0.14,-0.82,0.99,-0.65,0.71,-0.99,0.71,Three-of-akind
-0.82,0.99,-0.48,0.99,-0.65,0.37,-0.99,0.99,-0.48,0.2,Three-of-akind
-0.99,0.03,-0.82,0.37,-0.65,0.37,-0.48,0.37,-0.48,0.71,Three-of-akind
-0.65,-0.14,-0.48,-0.14,-0.48,0.2,-0.82,-0.14,-0.65,0.54,Three-of-akind
-0.65,-0.14,-0.65,0.99,-0.99,0.99,-0.99,0.37,-0.48,0.99,Three-of-akind
-0.48,0.37,-0.65,0.88,-0.48,0.88,-0.82,0.88,-0.65,0.99,Three-of-akind
-0.48,-0.14,-0.82,0.71,-0.48,0.37,-0.82,-0.14,-0.99,-0.14,Three-of-akind
-0.65,0.88,-0.99,0.88,-0.99,0.2,-0.48,0.88,-0.65,-0.14,Three-of-akind
-0.99,0.99,-0.65,0.37,-0.99,0.37,-0.65,0.03,-0.48,0.37,Three-of-akind
-0.48,0.2,-0.48,0.37,-0.99,0.03,-0.82,0.37,-0.65,0.37,Three-of-akind
-0.65,0.88,-0.65,0.37,-0.99,0.71,-0.65,0.71,-0.82,0.71,Three-of-akind
-0.99,0.37,-0.82,-0.14,-0.82,0.2,-0.99,-0.14,-0.65,-0.14,Three-of-akind
-0.82,0.99,-0.48,0.2,-0.65,0.99,-0.99,0.54,-0.48,0.99,Three-of-akind
-0.82,0.03,-0.99,0.54,-0.48,0.54,-0.82,0.88,-0.82,0.54,Three-of-akind
-0.99,0.54,-0.82,0.71,-0.82,0.54,-0.48,0.54,-0.99,0.37,Three-of-akind
-0.48,0.99,-0.65,0.37,-0.99,-0.14,-0.99,0.37,-0.48,0.37,Three-of-akind
-0.99,-0.14,-0.82,-0.14,-0.48,0.88,-0.99,0.03,-0.48,-0.14,Three-of-akind
-0.82,-0.14,-0.65,0.99,-0.65,0.88,-0.65,-0.14,-0.48,-0.14,Three-of-akind
-0.99,0.2,-0.48,0.88,-0.82,0.2,-0.82,0.37,-0.48,0.2,Three-of-akind
-0.99,-0.14,-0.65,-0.14,-0.82,-0.14,-0.82,0.88,-0.65,0.2,Three-of-akind
-0.48,0.88,-0.82,0.03,-0.82,0.37,-0.99,0.37,-0.48,0.37,Three-of-akind
-0.99,0.37,-0.48,0.03,-0.65,0.03,-0.65,0.2,-0.99,0.03,Three-of-akind
-0.99,0.03,-0.48,0.54,-0.82,0.54,-0.65,0.54,-0.82,-0.14,Three-of-akind
